id,name,surname,biography,imageLink
11,Lev Nikolayevich,Tolstoy,"Lev Tolstoy: Russian novelist, philosopher, and advocate of nonviolence. Wrote ""War and Peace"" and ""Anna Karenina."" Influenced by moral and social themes. Prominent figure in 19th-century literature and social reform.","https://en.wikipedia.org/wiki/Leo_Tolstoy#/media/File:L._N._Tolstoy,_by_Prokudin-Gorsky_(cropped).jpg"
12,Nikolay Vasilievich,Gogol,"Nikolai Vasilievich Gogol (1809-1852) was a Ukrainian-born Russian writer known for his satirical and comedic works like ""The Government Inspector"" and ""Dead Souls."" His writing combined realism with fantasy, creating memorable characters and critiquing societal norms. Gogol's influence on Russian literature remains significant, despite facing censorship during his lifetime.","https://tr.wikipedia.org/wiki/Nikolay_Gogol#/media/Dosya:N.Gogol_by_F.Moller_(1840,_Tretyakov_gallery).jpg"
13,İlber,Ortaylı,"1947 yılında doğdu. Ankara Üniversitesi Siyasal Bilgiler Fakültesi (1969) ile Ankara Üniversitesi Dil Tarih Coğrafya Fakültesi Tarih Bölümü’nü bitirdi. Chicago Üniversitesi′nde master çalışmasını Prof. Halil İnalcık ile yaptı. “Tanzimat Sonrası Mahalli İdareler” adlı tezi ile doktor, “Osmanlı İmparatorluğu′nda Alman Nüfuzu” adlı çalışmasıyla da doçent oldu. Viyana, Berlin, Paris, Princeton, Moskova, Roma, Münih, Strasbourg, Yanya, Sofya, Kiel, Cambridge, Oxford ve Tunus üniversitelerinde misafir öğretim üyeliği yaptı, seminerler ve konferanslar verdi. Yerli ve yabancı bilimsel dergilerde Osmanlı tarihinin 16. ve 19. yüzyılı ve Rusya tarihiyle ilgili makaleler yayınladı. 1989–2002 yılları arasında Siyasal Bilgiler Fakültesi′nde İdare Tarihi Bilim Dalı Başkanı olarak görev yapmış, 2002 yılında Galatasaray Üniversitesi′ne geçmiştir.",https://www.speakeragency.com.tr/media/o4vd3vw3/img-big-1.png
14,Ahmet Hamdi ,Tanpınar,"Ahmet Hamdi Tanpınar (1901-1962), Türk edebiyatının önemli isimlerinden biridir. İstanbul'da doğmuş ve burada büyük bir kısmı geçen hayatında edebiyat, tarih ve kültür alanlarında önemli çalışmalar yapmıştır.Ayrıca Türk edebiyatının modernist döneminde önemli bir yere sahiptir. Tanpınar'ın eserlerinde genellikle zaman, bellek, ve İstanbul gibi temalar ön plandadır. ",https://trthaberstatic.cdn.wp.trt.com.tr/resimler/1504000/ahmet-hamdi-tanpinar-1504481.jpg
15,Halide Edib,Adıvar,"Halide Edib Adıvar (1884-1964), Türk edebiyatının önemli yazarlarından biridir. İstanbul'da doğmuş ve eğitimini burada tamamlamıştır. Kadın hakları ve eğitim konularında önemli çalışmalar yapmış, aynı zamanda siyasi bir figür olarak da tanınmıştır. Edebiyat alanında romanlar, hikayeler ve denemeler yazmıştır. Eserleri arasında ""Ateşten Gömlek,"" ""Handan,"" ""Vurun Kahpeye"" gibi önemli romanlar bulunur. Halide Edib, Türk edebiyatının yanı sıra Türkiye'nin modernleşme sürecinde de etkili bir figür olmuştur.",https://tr.wikipedia.org/wiki/Dosya:Halide_Edib_Ad%C4%B1var.jpg
16,Anton Pavlovich,Chekhov,"Anton Pavlovich Chekhov was a Russian playwright and short story writer known for his insightful portrayals of human nature and society. His notable works include plays like The Seagull, Uncle Vanya, Three Sisters, and The Cherry Orchard, as well as renowned short stories such as ""The Lady with the Dog"" and ""The Bet."" Chekhov's works delve into themes of love, art, disillusionment, and the human condition, capturing the complexities of life with realism and deep psychological insight.",https://www.alfayayinlari.com/upload/Anton_Cehov.jpg
17,Franz,Kafka,"Franz Kafka, a Czech-born German writer, is known for works like The Metamorphosis (1915) and The Trial (1925), which explore themes of alienation, bureaucracy, and existential angst. His stories, including ""The Castle,"" ""The Judgment,"" and ""A Hunger Artist,"" delve into isolation and the absurdity of life. Kafka's influence in existential literature and modernism remains significant.",https://www.yapikrediyayinlari.com.tr/dosyalar/2019/08/fkafka.jpg
18,Gustave,Flaubert,"Gustave Flaubert, a pioneering French novelist born on December 12, 1821, in Rouen, France, is renowned for his contributions to literary realism. His magnum opus, Madame Bovary (1857), delves into the tragic life of Emma Bovary, who becomes ensnared in a web of romantic illusions and societal pressures. Flaubert's meticulous attention to detail and psychological depth bring the characters and settings to life, offering a critical commentary on the constraints of 19th-century bourgeois society",https://iasbh.tmgrup.com.tr/c4a746/752/395/0/301/1200/932?u=https://isbh.tmgrup.com.tr/sbh/2023/10/25/gustave-flaubert-eserleri-gustave-flaubert-kitaplari-sozleri-ve-hayati-e1-1698232854571.jpg
19,Peyami,Safa,"02 Nisan 1899`da İstanbul`da doğdu, 15 Haziran 1961`de İstanbul`da yaşamını yitirdi. Psikolojik romanlarıyla tanınan yazar.Sanat, edebiyat, felsefe, psikoloji, sosyoloji gibi değişik alanlarda yazdığı yazılarla çok yönlü bir yazar oldu.43 yıl hiç durmadan yazdı. Edebiyat ve siyaset tartışmalarının hep içinde bulundu.",https://cdn.kitapsec.com/image/yazar/2019/04/16/b1555425325.jpg
20,John,Steinbeck,"John Steinbeck (1902-1968) was an influential American author known for his realistic portrayal of the struggles and dreams of ordinary people. His notable works include The Grapes of Wrath (1939), a Pulitzer Prize-winning novel depicting the hardships faced by the Joad family during the Great Depression. Of Mice and Men (1937) is a poignant novella exploring themes of friendship and the pursuit of the American Dream among migrant workers",https://tr.wikipedia.org/wiki/John_Steinbeck#/media/Dosya:John_Steinbeck_1939_(cropped).jpg
21,Dan,Brown,"Dan Brown is a bestselling American author known for his gripping thrillers that blend history, art, and mystery with fast-paced storytelling. His notable works include ""The Da Vinci Code,"" a captivating novel exploring hidden secrets of the Catholic Church and the art world, and ""Angels & Demons,"" a thrilling tale of ancient conspiracies and modern-day intrigue set in Rome. Brown's writing style is characterized by intricate plots, cryptic puzzles, and a knack for blending fact with fiction to create suspenseful narratives that keep readers on the edge of their seats.",https://tr.wikipedia.org/wiki/Dosya:Dan_Brown_bookjacket_cropped.jpg
22,Sabahattin ,Ali,,
23,Michael,Shermer,"Michael Brant Shermer (born September 8, 1954) is an American science writer, historian of science, executive director of The Skeptics Society, and founding publisher[1] of Skeptic magazine, a publication focused on investigating pseudoscientific and supernatural claims.[2] The author of over a dozen books, Shermer is known for engaging in debates on pseudoscience and religion in which he emphasizes scientific skepticism.",https://en.wikipedia.org/wiki/Michael_Shermer#/media/File:Michael_Shermer_wiki_portrait4.jpg
