authorId,categoryId ,publisherId,typeId,languageId,name,description,isbn,imageLink,releaseYear,pageCount
5,4,8,,2,Insan Insana,"İnsan, ilişkileri içinde sürekli olarak ""yeniden tanımlanan"" bir varlıktır. İnsan ilişkilerinin temelini ise iletişim süreçleri oluşturur. İki insan birbirinin farkına vardığı anda iletişim başlar. Aynı sosyal ortam içinde yer alan kişilerin söyledikleri sözler ve hareketleri kadar, hareketsizlikleri, susmaları, beden duruşları ve yüz ifadeleri, hepsi anlamlı birer mesaj oluşturur. İyi bir dinleyici, iletişim kurduğu kişinin yalnız söylediklerini değil, yüzü, eli, kolu ve bedeniyle yaptıklarını da ""duyar."" Bir aracın sürücüsü, yolda kendinden başka araç yokmuş gibi davranırsa, trafik kazası olur. Bir kişi konuşurken, karşısındakini nasıl etkilediğini düşünmeden, kendi bildiği yönde istediğini söylerse ""iletişim kazası"" ortaya çıkar. İlişkilerimizde, verdiğimiz mesajların sorumluluğunun bilincinde olmamız, iletişim kazalarını önler. Bu varsayım toplumsal düzeyde de geçerlidir. Kişi farkında olsun ya da olmasın, toplumla da sürekli ilişki içindedir. Bir toplumda ""Herkes benim gibi düşünmelidir, benim düşünce tarzım en doğrusudur,"" tutumu ağır basarsa, akılcı tartışmalar yerine duygusal çatışmalar ortaya çıkar. İnsan hayatını mercek altına alıp, insana dair her hikayeden bir anlam çıkarabilen bilgeliğiyle değerli Doğan Cüceloğlu, kimliklerin ötesinde, canların temas içinde olduğu ""insan insana"" bir ilişkinin mümkün olduğunu bize hatırlatıyor. Kalıpları tekrarlamaktan kurtulabilmeniz, insan ilişkilerine anlamsal zenginliği ve derinliği getirebilmeniz için iletişim süreçlerini uygun ve etkili bir biçimde uygulamanıza yönelik bilgi ve becerileri sunuyor. İletişim sorunlarını çözmeden doyumlu bir yaşam sürdürmenin olanaksız olduğunun ve insanın isterse kendini değiştirip geliştirebileceğinin altını çiziyor.",978-6257631525,https://m.media-amazon.com/images/I/51UPztc-LSL._SY466_.jpg,2021,312
5,1,9,1,2,Savaşçı: Anlamlı ve Coşkulu Bir Yaşam İçin,"Anlamlı ve Coşkulu Bir Yaşam İçin Savaşçı kitabında böyle bir savaştan söz ediyoruz. Söz ediyorum değil, söz ediyoz; çünkü kitabı Arif Bey'le beraber oluşturduk. Arif Bey kimdir? Arif Bey, bu kitapta benimle konuşan bir sınıf öğretmeni. O beni bulmadı, aslında ben onu buldum. Uzun zamandır öğretmenlere ulaşmak, onlarla bir diyalog başlatmak gereksinmesi duyuyordum. Arif Bey'i böyle bir arayışın sonucunda buldum. Arif Bey'in yüreğinde sıkıntı var. Çabalıyor. Anlamak istiyor, yapmak istiyor. Destek bulamıyor. Ve yalnız!... (Doğan Cüceloğlu)",978-9751408259,https://m.media-amazon.com/images/I/610edjW2S+L._SY466_.jpg,2005,400
5,5,9,1,2,Icimizdeki Cocuk,"İçimizdeki Çocuk', yaşamımıza yön veren güçlü bir varlıktır. İçimizdeki Çocuk ve İçimizdeki Ana-Baba, duygu, düşünüş ve davranışlarımızı sürekli yönlendirdiği halde, çoğu kez onların varlığından bile haberdar olmayız. Bu kitap, içinde yetiştiğiniz ailenin ve yakın çevrenin sizin iç dünyanızı ve şimdiki duygu, düşünüş ve davranışınızı nasıl etkilediğini incelemektedir",978-9751403643,https://m.media-amazon.com/images/I/41tde9ySW-L._SY445_SX342_.jpg,2014,254
6,2,10,8,1,The Scarlet Plague,"Jack London's post-apocalyptic vision takes place in 2072, sixty years after an uncontrollable plague epidemic has depopulated the planet. James Howard Smith, one of the few survivalists left alive in the San Francisco area, tries to impart the value of wisdom of a world left behind to his grandsons as his time on Earth grows ever shorter.",978-6059919340,https://m.media-amazon.com/images/I/51Lvert2eTL._SY466_.jpg,2016,83
6,2,11,2,1,Martin Eden,"""He was a man without a past, whose future was the imminent grave and whose present was a bitter fever of living."" This book is a semi-autobiographical work where the main character Martin Eden is one of Jack London's most authentic and realistic characters. Throughout the book, Martin, a poor sailor, develops intellectually to impress a beloved Bourgois and her entourage. Despite all impossibilities, he pursues his dream of becoming a known writer. The more he understands the values of the higher class, the more he realizes how meaningless those are. Trapped in his awareness, Martin Eden explains to the reader the difference between classes and shows the sad reality of individualism.",978-6254414091,https://m.media-amazon.com/images/I/51M860fsQKL._SY466_.jpg,2021,576
6,2,12,2,1,White Fang,"Born in the wilds of the freezing cold Yukon, White Fang - half-dog, half-wolf - is the only animal in the litter to survive. He soon learns the harsh laws of nature, yet buried deep inside him are the distant memories of affection and love. Will this fiercely independent creature of the wild learn to trust man again?",978-0141321110,https://m.media-amazon.com/images/I/71P7WMyivYL._SY466_.jpg,2008,336
6,2,13,2,1,The Iron Heel,"The Iron Heel is a dystopian novel by American writer Jack London, first published in 1908. Generally considered to be ""the earliest of the modern Dystopian"", it chronicles the rise of an oligarchic tyranny in the United States. It is arguably the novel in which Jack London's socialist views are most explicitly on display. A forerunner of soft science fiction novels and stories of the 1960s and '70s, the book stresses future changes in society and politics while paying much less attention to technological changes. The book is unusual among London's writings (and in the literature of the time in general) in being a first-person narrative of a woman protagonist written by a man. Much of the narrative is set in the San Francisco Bay Area, including events in San Francisco and Sonoma County.",978-6052490051,https://m.media-amazon.com/images/I/61MyV5cW5UL._SY466_.jpg,2018,298
7,2,10,9,1,Animal Farm,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned -a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell's masterpiece have a meaning and message still ferociously fresh.",978-6059919449,https://m.media-amazon.com/images/I/81EUf6Z14UL._SY466_.jpg,2021,124
7,2,10,9,1,Nineteen Eighty - Four,"Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life−the ubiquity of television, the distortion of the language−and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written.",978-6059919418,https://m.media-amazon.com/images/I/71YuPPiTCyL._SY466_.jpg,2021,356
8,2,10,3,2,The Burning Secret,"While being treated for asthma at a country spa, an American diplomat's lonely 12-year-old son is befriended and infatuated by a suave, mysterious baron. But soon his adored friend heartlessly brushes him aside and turns his seductive attentions to his mother. The boy's jealousy and feelings of betrayal become uncontrollable. The story is set in Austria in the 1920s.  The book was adapted for a movie in 1988, starring Faye Dunaway, Klaus Maria Brandauer and Ian Richardson.",978-6059919005,https://m.media-amazon.com/images/I/41VvO19QXcL._SY466_.jpg,2015,109
8,2,10,2,1,Chess,"...a human being, an intellectual human being who constantly bends the entire force of his mind on the ridiculous task of forcing a wooden king into the corner of a wooden board, and does it without going mad!' A group of passengers on a cruise ship challenge the world chess champion to a match. At first, they crumble, until they are helped by whispered advice from a stranger in the crowd -a man who will risk everything to win. Stefan Zweig's acclaimed novella Chess is a disturbing, intensely dramatic depiction of obsession and the price of genius.",978-6059919272,https://m.media-amazon.com/images/I/51cuVHMU7LL._SY466_.jpg,2018,80
8,2,10,2,1,Amok,"In March, 1912, when a big mail-boat was unloading at Naples, there was an accident about which extremely inaccurate reports appeared in the newspapers. I myself saw nothing of the affair, for (in common with many of the passengers), wishing to escape the noise and discomfort of coaling, I had gone to spend the evening ashore. As it happens, however, I am in a position to know what really occurred, and to explain the cause. So many years have now elapsed since the incidents about to be related, that there is no reason why I should not break the silence I have hitherto maintained.","978-6059919487
",https://m.media-amazon.com/images/I/31ZAjGuSKfL._SY445_SX342_.jpg,2021,74
8,2,14,3,1,Fear,"Fear is a 1925 novella by the Austrian writer Stefan Zweig. It was adapted into a 1928 silent film, Angst, directed by Hans Steinhoff, a 1936 film, La Peur, directed by Victor Tourjansky, and a 1954 film, Fear, directed by Roberto Rossellini. The protagonist, Irene Wagner, is a married, young bourgeois who has a secret affair with a pianist. Due to blackmails from the pianist’s girlfriend who is aware of the affair, Irene is seized with fear of losing her dolce vita.Nicholas Lezard of The Guardian reviewed the book in 2010: “This is the stuff of melodrama: the typical Zweigian scenario in which, beneath the trappings of respectability, storms of carnal passion, guilt, shame and rage. It is no accident, you feel, that Zweig was writing at the same time and in the same city as Sigmund Freud.”",978-6258141771,https://m.media-amazon.com/images/I/51v8KwY4wvL._SY466_.jpg,2023,72
8,6,14,2,1,Fantastic Night,"Zweig exquisitely skewers an almost lost culture of the Vienna between the wars. And he does so with the precision of a master short storyteller: concisely, intimately and dramatically. Immersed in his highly mannered world, you simply can’t resist the sharply observed characters and crises of Fantastic Night.",978-6258141788,https://m.media-amazon.com/images/I/51rl4xpj8yL._SY466_.jpg,2023,72
8,2,15,2,1,Letter From An Unknown Woman,"Written in 1920s, Stefan Zweig tells the story of a woman who is unrecognised and unrequited lover in Letter From Unknown Woman. This nameless young woman reached her unaware lover with this long letter by telling their memories from first day. As reader, while appreciating the patience of life long silence and hiding we don’t know this woman as her lover who read the letter never recognised her too. With Zweig’s literary talent this book has an unforgetable importance in our literature by emotion of being effaced that derived from never known; based on depth psychological side and human’s love feeling we can find out darker sides and obsessions of people via this short but impressive book. Every reader who knows Zweig’s success will admiringly read this book which is less known considering the other novels.",978-6057944689,https://m.media-amazon.com/images/I/61og25hEEDL._SY466_.jpg,2018,64
8,2,14,3,1,Twenty-Four Hours in the Life of a Woman,"""The less I felt in myself, the more strongly I was drawn to those places where the whirligig of life spins most rapidly."" So begins an extraordinary day in the life of Mrs C―recently bereaved and searching for excitement and meaning. Drawn to the bright lights of a casino, and the passion of a desperate stranger, she discovers a purpose once again but at what cost? In this vivid and moving tale of a compassionate woman, and her defining experience, Zweig explores the power of intense love, overwhelming loneliness and regret that can last for a lifetime.",978-6258141702,https://m.media-amazon.com/images/I/51mtvwlwqfL._SY466_.jpg,2023,72
8,6,16,2,1,Twilight and Moonbeam Alley,"Twilight is the story of a fashionable lady who is banished from Versailles by the king. She tries to make the best of living on her country estate, but although she entertains lovers and friends from Paris, she comes to find it intolerable. Life at court, for all its essential emptiness, was the only thing that gave her existence meaning, and she moves inexorably towards suicide. In Moonbeam Alley, a traveller delayed in a French port explores the sailors' quarter. Enticed by a voice singing an aria, to a bar near the harbour, he learns the story of those who run it and frequent it: a tale of violence, unrequited passion, and a marriage that is no true marriage.",978-1901285574,https://m.media-amazon.com/images/I/71gC3-ZExsL._SY466_.jpg,2005,96
9,2,17,2,1,Demian,"Demian is a coming-of-age story that follows a young boy's maturation as he grapples with good and evil, lightness and darkness, and forges alternatives to the ever-present corruption and suffering that he sees all around him. Crucial to this development are his relationships with a series of older mentors, of who the titular Demian is the most charismatic, otherworldly and ultimately influential. Many have noted the influence of Jungian psychology upon this novel and it is fascinating to see Herman Hesse's interests in the self, existence and free will play out through through the lens of early twentieth-century Europe; Christian imagery and themes are ever-present, as is the shadow of the First World War.",978-0241307434,https://m.media-amazon.com/images/I/41Aao7ougZL._SY445_SX342_.jpg,2017,144
10,2,18,10,1,Crime and Punishment,"Crime and Punishment follows the mental anguish and moral dilemmas of Rodion Raskolnikov, an impoverished ex-student in Saint Petersburg who plans to kill an unscrupulous pawnbroker, an old woman who stores money and valuable objects in her flat. He theorises that with the money he could liberate himself from poverty and go on to perform great deeds, and seeks to convince himself that certain crimes are justifiable if they are committed in order to remove obstacles to the higher goals of 'extraordinary' men. Once the deed is done, however, he finds himself wracked with confusion, paranoia, and disgust. His theoretical justifications lose all their power as he struggles with guilt and horror and is confronted with both internal and external consequences of his deed.",9786059681384,https://en.wikipedia.org/wiki/Crime_and_Punishment#/media/File:Crimeandpunishmentcover.png,2016,673
10,2,19,10,1,The Karamazov Brothers,"The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.",978-0374528379,https://m.media-amazon.com/images/I/71OZJsgZzQL._SL1500_.jpg,2002,1080
11,2,20,3,2,Anna Karenina,"""Anna Karenina"" is a classic novel by Lev Tolstoy that delves into the complexities of love, marriage, and society in 19th-century Russia. The story follows the tragic life of Anna Karenina, a woman trapped in a loveless marriage who finds passion and forbidden love with Count Vronsky. Tolstoy weaves a narrative that explores the consequences of societal norms, personal desires, and moral dilemmas, making it a timeless tale of human emotions and societal expectations.",9786053604099,https://www.iskultur.com.tr/webp/2011/10/annakarenina-1.jpg,2011,1072
11,7,20,2,2,İnsan Neyle Yaşar?,"""What Men Live By"" is a short story by Leo Tolstoy that explores fundamental human values through the experiences of a poor shoemaker, Simon. The story delves into themes of love, compassion, forgiveness, and the meaning of life. Through Simon's encounters with a mysterious angel and a convict, Tolstoy reflects on the essence of human existence and the virtues that define a meaningful life.       ",9786053607038,https://www.iskultur.com.tr/webp/2012/09/insanneyleyasar-2.jpg,2012,96
12,7,21,2,2,Palto," ""The Overcoat"" is about Akaky Akakievich Bashmachkin, a low-ranking clerk obsessed with buying a new overcoat. When he finally gets one, he becomes a target of ridicule. Thieves steal his coat, leading to his downfall and death. His ghost then seeks revenge. The story delves into social hierarchy and the dehumanizing effects of bureaucracy.",9786053542834,https://static.nadirkitap.com/fotograf/277418/27/Kitap_202205131713062774181.jpg,2014,64
12,7,18,11,1,The Nose,"""The Nose"" is a satirical short story by Nikolai Gogol. Written between 1835 and 1836, it tells of a St. Petersburg official whose nose leaves his face and develops a life of its own.",9786057889829,https://m.media-amazon.com/images/I/619GvjJL2bL._SY466_.jpg,2019,36
13,1,8,1,2,Bir Ömür Nasıl Yaşanır,"İlber Hoca bu kitapta, bir insanın, çocukluktan itibaren hayatın hemen her alanında ihtiyaç duyacağı çözümleri nasıl bulabileceğini örnekler vererek anlatıyor. “Herkes kendi talihinin mimarıdır” sözünü hatırlatarak, kendi yolunu çizmenin ne anlama geldiğini tüm kritik noktalarıyla yorumluyor",9789752430990,https://kronikkitap.com/wp-content/uploads/2019/10/ilber-biromurnasilyasnir.jpg,2019,288
14,2,22,3,2,Saatleri Ayarlama Enstitüsü,"""Saatleri Ayarlama Ensitüsü"" toplumumuzun bu değişme süreci içindeki durumunu, fertten yola çıkarak topluma varan bir teknikle anlatıyor.  Türk edebiyatının dönüm noktalarından biri olan Saatleri Ayarlama Enstitüsü kitabında Doğu ve Batı, gelecek ve geçmiş, modernizm ve gelenek gibi karşıt kavramlar sorgulanıyor. Bu ikilikler arasından bocalayan Hayri İrdal ve zaman kavramı üzerine geliştirdiği projeleri hayata geçirmeye çalışan Halit Ayarcı",9789759955762,https://m.media-amazon.com/images/I/61+v3q1RMEL._SY466_.jpg,2017,384
14,2,22,12,2,Huzur,"Eserde hastalık, ölüm, tabiat, kozmik unsurlar, medeniyet, sosyal meseleler, çeşitli ruh halleri ve estetik fikirler iç içe verilir. Ancak bütün bunların üzerinde romana hakim olan Mümtaz'la Nuran'ın aşklarıdır. İstanbul, bu aşkın yaşandığı çevre olmaktan çıkarak, adeta bir roman kahramanı gibi ele alınır.",9789759955748,https://cdn.kibo.com.tr/kibo/2/3/4/583743.png,2016,413
14,2,22,2,2,Sahnenin Dışındakiler,"Tanpınar'ın bu eseri 1920'li yılların, Millî Mücadele yıllarının romanıdır. Romanın kahramanlarından İhsan romanın bir yerinde ""Orada (Anadolu'da) mücadele var, muharebe var. Mukadderatımız orada halledilecek! Asıl sahne orası. Biz burada malesef sadece seyirciyiz. Sahnenin dışındayız"" demektedir. Roman adını ve konusunu ""sahnenin dışında"" olanların içlerinde ve etraflarında olup bitenlerle, zaman zaman geçmişe, maziye yönelerek değişimler, hasretler ihtiraslarla kazanmaktadır.",9789759955779,https://cdn.kitapsec.com/image/urun/2019/06/11/b1560253196.jpg,1990,343
15,2,23,3,2,Sinekli Bakkal,"Bu romanda Sinekli Bakkal mahallesinde yaşayan insanlar, aydınlar ve saray çevresi gibi 2`nci Abdülhamit döneminin farklı toplum kesimleri canlandırılır. Bu romanın yazıldığı yıllarda Türkiye bağımsız ve Batı yanlısı bir ülke olmayı tercih etmişti. Bir yandan da Tanzimattan beri süren Batı-Doğu çatışmasından kurtulamamıştı. Halide Edip, ""Sinekli Bakkal""da Doğu`nun değerlerini bulup çıkarmak, Batı`nın karşısına koymak amacındadır. Roman ""roman yanıyla zayıf olmakla"" eleştirildi.",9754471142,https://cdn.kitapsec.com/image/urun/2020/05/09/1589005350.jpg,1936,208
15,2,23,3,2,Ateşten Gömlek," ""Ateşten Gömlek,"" Türk Kurtuluş Savaşı dönemindeki bir kadının vatanseverlik ve fedakarlık üzerine yaşadığı hikayeyi anlatır. Zeynep adlı genç kadın, savaşın zorluklarıyla mücadele ederken içsel değerlerini sorgular ve vatanseverliğini kanıtlar.",9789750723322,https://cdn.kitapsec.com/image/urun/2022/09/14/1663164702.jpg,2016,253
15,2,23,3,2,Vurun Kahpeye,"Halide Edib Adıvar'ın toplumsal ve siyasi eleştiriler içeren önemli eserlerinden biridir. Roman, Osmanlı İmparatorluğu'nun son dönemlerindeki toplumsal ve siyasi sorunları ele alırken, kadın hakları ve toplumsal cinsiyet rolleri konularına da değinir.",978-9750721670,https://m.media-amazon.com/images/I/5183SoEeJxL._SL1500_.jpg,2017,187
15,2,23,13,2,Handan," ""Handan,"" Halide Edib Adıvar'ın 1912 yılında yazdığı önemli bir romandır. Roman, Tanzimat Dönemi'nde geçer ve dönemin toplumsal ve siyasi yapısını ele alır. ""Handan,"" dönemin Osmanlı toplumunun karmaşıklığını ve değişen değerlerini gözler önüne sererken, aynı zamanda kadının toplumdaki yerini ve özgürlük mücadelesini de işler.",9789750723537,https://cdn.kitapsec.com/image/urun/2016/11/24/Resim_1479975820.jpg,2016,245
16,7,20,14,2,Martı,"""The Seagull"" is a play written by Anton Chekhov that delves into the lives and relationships of several characters on a Russian country estate. It explores themes of unrequited love, artistic ambition, and the search for meaning in life. The play centers around Konstantin's unrequited love for Nina, highlighting the complexities of human emotions and relationships amidst personal and professional challenges.       ",9786053321262,https://cdn03.ciceksepeti.com/cicek/kcm60129227-1/XL/marti-modern-klasikler-dizisi-kcm60129227-1-dacecf468edd4996a656b19d23c25afa.jpg,2019,94
17,6,24,15,1,The Metamorphosis,"One morning, when Gregor Samsa woke from troubled dreams, he found himself transformed in his bed into a horrible vermin. Thus begins The Metamorphosis, cited as one of the seminal works of fiction of the twentieth century. A story of Gregor Samsa, a travelling salesman, who wakes up one day to discover that he has metamorphosed into a bug, The Metamorphosis is a book that concerns itself with the themes of alienation, disillusionment, and existentialism.",9788172345136,https://pictures.abebooks.com/isbn/9788172345136-us.jpg,2014,70
17,2,18,16,1,The Castle,"The Castle by Franz Kafka is a novel that follows the protagonist, K., as he arrives in a village dominated by a mysterious castle. K. seeks to gain access to the castle and understand his purpose there but encounters bureaucratic obstacles and misunderstandings at every turn.",9781840221824,https://m.media-amazon.com/images/I/71VoszsTBcL._SY466_.jpg,2009,283
18,2,25,17,1,Madam Bovary," ""Madame Bovary"" by Gustave Flaubert is a novel that tells the story of Emma Bovary, a young woman who marries Charles Bovary, a country doctor. Disillusioned with her provincial life and seeking excitement and romance, Emma engages in extramarital affairs and accumulates debts to maintain her lavish lifestyle. As her affairs and financial troubles escalate, Emma's life spirals out of control, leading to tragic consequences. The novel explores themes of romanticism, dissatisfaction, and the consequences of living a life detached from reality.",9789750513435,https://www.yokyerkitapkulubu.com/wp-content/uploads/2021/09/Madam-Bovary-1536x768.jpg,2023,431
19,2,26,10,2,Dokuzuncu Hariciye Koğuşu,"Romanın genç kahramanı, ayağındaki rahatsızlıktan kurtulabilmek için sayısız doktora görünür ve en nihayetinde havadar bir ortamda, stresten uzak bir istirahat dönemi geçirmesi gerektiğine ikna edilir. Ancak, gerek akrabaları olan bir Paşa'nın Erenköyü'ndeki köşkünde misafir kaldığı dönemde, gerekse kendi evi ve hastaneye gidiş gelişlerinde şuurunu adeta bir facia atmosferinde yoğurur. Peyami Safa'nın çocukluk ve gençlik dönemlerinden fazlasıyla izler taşıyan roman, hem umudu ve umutsuzluğu, hem de sevinci ve felaketi aynı sayfalara sığdırabilmiş olması bakımından insanın eşsiz bir tarifini sunuyor.",9786254085086,https://cdn.kitapsec.com/image/urun/2023/04/17/1681739501.jpg,2016,112
19,2,26,2,2,Fatih Harbiye," Peyami Safa'nın ""Fatih Harbiye"" adlı romanı, İstanbul'un Fatih semtinde geçen bir aşk hikayesini anlatır. Romanın merkezinde, zengin ve güzel bir kız olan Neriman ile fakir bir aileye mensup olan genç bir adam olan Kamuran'ın ilişkisi yer alır. Kamuran, Neriman'a aşık olur ve onunla evlenmeye karar verir. Ancak sosyal sınıf farkları, aile baskısı ve toplumsal normlar arasında yaşadıkları zorluklar, ilişkilerini karmaşık hale getirir. Roman, aşkın, tutkunun ve toplumsal beklentilerin çatışmasını etkileyici bir şekilde işler.",9786254085079,https://cdn03.ciceksepeti.com/cicek/kcm91692386-1/XL/fatih-harbiye-yeni-kapak-kcm91692386-1-f698f198537d4b70a83214d61daa7bf0.jpg,2022,128
20,6,17,18,1,Of Mice and Men,"Drifters in search of work, George and his childlike friend Lennie, have nothing in the world except the clothes on their back - and a dream that one day they will have some land of their own. Eventually they find work on a ranch in California's Salinas Valley, but their hopes are dashed as Lennie - struggling against extreme cruelty, misunderstanding and feelings of jealousy - becomes a victim of his own strength.",9780141023571,https://cdn.kitapsec.com/image/urun/2020/05/25/1590422386.jpg,2007,144
